domega_x,domega_y,domega_z,omega_x,omega_y,omega_z,dq_w,dq_x,dq_y,dq_z,q_w,q_x,q_y,q_z,dt
3.14908,-4.73289,0.0666676,0.408184,-0.0700569,0.000188347,0.00292699,0.203921,-0.0355657,0.004814,0.999664,-0.00803756,0.0245,0.0027384,0.01
2.70301,-4.47606,0.0504923,0.435214,-0.114818,0.00069327,0.00315459,0.217368,-0.0579881,0.00521645,0.999693,-0.00586386,0.02392,0.00279056,0.01
2.25468,-4.20347,0.0338539,0.457761,-0.156852,0.00103181,0.00321664,0.228579,-0.0790437,0.00553069,0.999722,-0.00357806,0.0231295,0.00284586,0.01
1.80743,-3.91993,0.0169736,0.475835,-0.196052,0.00120154,0.00311686,0.237558,-0.0986777,0.00575278,0.99975,-0.00120247,0.0221427,0.00290337,0.01
1.36474,-3.62613,7.03725e-06,0.489482,-0.232313,0.00120162,0.00286456,0.244329,-0.116839,0.0058802,0.999775,0.00124081,0.0209742,0.00296217,0.01
0.930291,-3.32343,-0.0168735,0.498785,-0.265547,0.00103288,0.00247384,0.248932,-0.133482,0.00591188,0.999796,0.00373012,0.0196393,0.00302127,0.01
0.506359,-3.01658,-0.0334402,0.503849,-0.295713,0.000698478,0.00196303,0.251419,-0.148586,0.00584831,0.999811,0.00624429,0.0181534,0.00307974,0.01
0.0958562,-2.70706,-0.0495309,0.504807,-0.322783,0.00020317,0.00135341,0.251857,-0.162138,0.00569132,0.99982,0.00876282,0.0165319,0.00313664,0.01
-0.297241,-2.39592,-0.0650019,0.501835,-0.346743,-0.000446849,0.000668114,0.250332,-0.174129,0.00544398,0.999822,0.0112661,0.0147905,0.00319107,0.01
-0.673498,-2.08781,-0.0796265,0.4951,-0.367621,-0.00124311,-6.82813e-05,0.246929,-0.184575,0.00511078,0.999817,0.0137353,0.0129447,0.00324216,0.01
-1.02632,-1.78208,-0.0933529,0.484837,-0.385441,-0.00217664,-0.000831444,0.241763,-0.193486,0.004697,0.999804,0.0161529,0.0110098,0.00328911,0.01
-1.35794,-1.48279,-0.105961,0.471257,-0.400269,-0.00323625,-0.00159731,0.234942,-0.200897,0.00420917,0.999783,0.0185022,0.00900081,0.00333119,0.01
