p_x,p_y,p_z,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,dt
1.005472,1.005472,4.105160,0.040839,0.040839,0.047900,-0.117578,-0.117578,9.233306,0.010000
1.005863,1.005863,4.106045,0.039680,0.039680,0.042268,-0.115949,-0.115949,9.246819,0.010000
1.006242,1.006242,4.106875,0.038536,0.038536,0.036770,-0.114343,-0.114343,9.260149,0.010000
1.006611,1.006611,4.107653,0.037409,0.037409,0.031402,-0.112757,-0.112757,9.273296,0.010000
1.006968,1.006968,4.108379,0.036297,0.036297,0.026165,-0.111191,-0.111191,9.286260,0.010000
1.007315,1.007315,4.109055,0.035200,0.035200,0.021055,-0.109642,-0.109642,9.299043,0.010000
1.007651,1.007651,4.109681,0.034119,0.034119,0.016072,-0.108108,-0.108108,9.311643,0.010000
1.007976,1.007976,4.110259,0.033053,0.033053,0.011213,-0.106589,-0.106589,9.324066,0.010000
1.008291,1.008291,4.110791,0.032003,0.032003,0.006476,-0.105083,-0.105083,9.336304,0.010000
1.008595,1.008595,4.111277,0.030967,0.030967,0.001859,-0.103589,-0.103589,9.348362,0.010000
1.008889,1.008889,4.111718,0.029946,0.029946,-0.002638,-0.102105,-0.102105,9.360243,0.010000
1.009174,1.009174,4.112117,0.028939,0.028939,-0.007019,-0.100630,-0.100630,9.371943,0.010000
1.009448,1.009448,4.112473,0.027948,0.027948,-0.011284,-0.099165,-0.099165,9.383467,0.010000
